FIPS,Gyms
54049,0
54051,2
54055,2
54059,0
54061,4
54065,9
54067,1
54069,2
54077,2
54079,6
54081,3
54083,2
54085,2
54087,0
54093,1
54097,1
54099,0
54101,1
54107,9
54109,0
55001,1
55003,0
55005,4
55007,1
55009,47
55011,1
55015,2
55017,6
55019,0
55021,11
55025,99
55027,3
55029,0
55031,7
55033,5
55035,12
55039,11
55043,4
55045,6
55047,2
55053,3
55055,9
55057,2
55059,8
55061,1
55063,15
55067,5
55069,1
55071,3
55073,13
55075,3
55077,6
55079,89
55081,5
55083,5
55085,6
55087,24
55089,11
55093,9
55095,4
55097,10
55101,15
55103,2
55105,12
55109,8
55111,10
55113,1
55115,2
55117,9
55121,1
55123,4
55125,4
55127,8
55129,6
55131,18
55133,59
55135,3
55137,2
55139,16
55141,4
56001,1
56003,3
56005,1
56009,11
56013,8
56017,0
56019,2
56021,13
56023,1
56025,12
56027,5
56029,2
56033,4
56037,1
56039,13
56041,3
56043,6
56045,0
