FIPS,Gyms
55109,12
55111,1
55113,2
55115,3
55117,10
55121,3
55123,22
55125,58
55127,5
55129,1
55131,15
55133,7
55135,1
55137,2
55139,4
55141,1
56001,7
56003,2
56005,2
56009,8
56013,1
56017,11
56019,1
56021,4
56023,4
56025,2
56027,1
56029,13
56033,3
56037,4
56039,
56041,
56043,
56045,
